1	9	10	4	8	4	4	1	1	1	1	1	1	11	11	1	1	4	11	9	8	
2	1	2	11	2	11	11	9	10	1	1	11	11	2	2	10	8	11	4	1	1	 
8	1	3	10	1	11	11	10	10	3	1	11	11	11	11	3	3	2	2	2	1	 
3	6	7	4	9	9	9	3	2	11	11	1	1	3	6	1	1	8	8	9	7	 
4	3	3	4	8	3	3	1	1	7	8	1	1	1	1	1	1	2	7	4	8	 
11	1	4	11	1	11	11	7	8	1	1	11	11	3	9	2	6	3	7	11	7	 
13	1	4	9	2	11	11	4	6	8	8	8	11	11	11	8	8	2	2	1	1	 
12	6	8	8	9	9	11	3	7	11	11	1	1	1	1	5	6	1	1	8	7	 
6	1	4	11	1	2	2	1	1	1	1	1	1	11	11	1	1	11	11	9	8	 
7	3	6	9	3	11	11	1	1	7	8	11	11	1	1	1	1	1	1	11	9	 
9	7	11	10	9	11	11	10	8	11	11	1	1	11	11	1	1	1	1	11	10	 
5	2	8	11	2	11	11	2	2	1	1	11	11	1	1	7	7	9	11	8	8	 
10	2	8	11	1	11	11	3	3	11	11	11	11	1	1	11	10	11	9	8	7	 
