1	5	4	6	2	1	2	1	1	3	3	1	1	6	10	1	1	4	7	4	3	
2	1	1	10	1	7	11	4	5	6	7	8	9	1	1	7	2	1	1	1	1	 
5	1	1	11	1	11	11	2	5	5	9	11	10	3	2	4	6	2	2	3	3	 
8	1	1	11	1	5	10	3	4	4	6	7	9	5	8	3	3	3	6	2	2	 
4	1	1	8	4	2	1	1	1	3	1	1	1	1	1	1	1	3	8	5	5	 
11	1	1	9	4	7	11	1	1	6	10	1	1	4	1	1	1	4	3	4	5	 
3	1	1	7	4	3	7	4	3	4	5	1	1	3	2	1	1	4	8	3	2	 
10	3	1	8	4	4	8	2	5	4	9	3	3	1	1	10	11	4	6	4	4	 
9	3	1	9	4	6	7	2	2	3	4	2	2	5	11	1	1	1	1	5	8	 
12	3	1	8	5	9	11	3	6	8	11	11	9	1	1	1	1	1	1	5	3	 
6	3	1	9	4	11	9	3	6	7	7	3	4	11	11	1	1	9	11	8	3	 
13	1	1	9	3	10	10	3	2	11	9	8	6	11	11	11	2	1	1	1	1	 
7	2	1	7	3	8	11	7	7	9	10	10	8	1	1	1	1	1	1	5	4	 
