1	8	6	3	9	3	9	1	1	2	6	3	5	7	10	1	1	7	6	7	4	
2	4	5	8	4	9	9	7	3	9	8	7	8	1	1	9	5	1	2	1	2	 
8	4	6	10	2	8	9	5	3	9	9	10	4	9	9	2	2	9	8	2	2	 
3	6	4	7	6	4	9	1	1	6	4	2	2	9	2	2	1	9	2	8	4	 
6	5	9	8	7	4	5	3	3	8	2	2	1	10	10	3	3	10	9	6	4	 
10	3	3	9	2	8	7	4	2	9	6	10	5	1	1	10	5	6	4	3	5	 
5	4	7	9	4	9	9	2	3	3	7	5	3	4	2	2	5	4	2	7	4	 
12	7	7	5	8	4	3	2	2	8	2	3	2	3	3	4	5	1	1	8	2	 
11	5	7	9	5	8	10	4	3	8	9	9	3	6	3	6	4	7	4	5	4	 
9	7	9	9	8	4	8	3	2	8	2	3	3	8	10	2	1	2	3	9	2	 
7	7	7	6	4	9	9	4	3	9	8	7	4	1	1	1	1	3	3	7	6	 
13	8	7	5	4	9	9	2	2	6	8	9	2	10	10	10	2	2	8	1	1	 
4	9	8	5	9	2	9	2	2	3	9	3	3	1	1	1	1	7	8	3	6	 
