1	6	8	8	6	2	3	1	1	1	1	1	1	6	11	2	4	3	11	4	11	
2	3	3	7	2	8	11	1	1	1	1	8	11	1	1	8	2	1	1	1	1	 
10	1	1	7	1	11	8	1	1	1	1	7	11	1	1	9	4	7	9	1	1	 
3	9	6	4	7	4	11	1	1	4	11	1	1	6	2	1	1	4	4	1	1	 
13	1	1	6	1	6	11	1	1	1	1	7	6	10	11	11	3	4	3	1	1	 
11	2	2	8	4	7	11	1	1	7	9	9	7	1	1	1	1	7	4	8	4	 
12	5	5	5	7	5	5	2	2	5	3	4	2	3	11	1	1	1	1	7	2	 
6	2	5	5	4	1	1	1	1	4	7	1	1	9	11	1	1	7	11	1	1	 
9	7	5	5	9	1	1	1	1	3	8	1	1	5	11	2	2	1	1	10	2	 
8	4	4	5	2	8	11	1	1	1	1	9	3	6	11	1	1	1	1	1	1	 
4	9	3	2	6	2	11	1	1	1	1	1	1	1	1	1	1	4	9	1	1	 
5	3	4	6	3	9	11	1	1	1	1	1	1	3	11	1	1	4	5	8	3	 
7	8	4	2	6	6	11	1	1	1	1	1	1	3	11	1	1	1	1	8	4	 
