1	8	8	5	10	3	3	1	1	4	4	1	1	8	11	1	1	3	2	6	6	
2	4	2	5	6	9	10	8	5	1	1	6	4	1	1	9	4	1	1	1	1	 
9	3	4	8	3	5	10	4	5	6	9	1	1	8	9	1	1	1	1	11	10	 
13	3	9	9	8	8	11	1	1	6	11	1	1	9	11	11	4	1	1	1	1	 
10	3	4	6	2	8	11	5	6	7	11	7	6	1	1	10	6	5	10	7	9	 
8	2	2	8	3	7	11	3	3	7	11	11	3	9	11	1	1	4	11	1	1	 
7	5	6	4	6	7	11	5	11	7	11	6	11	1	1	1	1	1	1	10	6	 
11	3	3	8	2	8	11	1	8	8	11	11	6	1	1	1	1	6	6	7	5	 
12	6	5	7	8	6	11	4	1	7	11	1	1	1	1	1	1	1	1	8	4	 
4	8	9	9	8	4	11	3	3	4	10	4	5	5	4	1	1	4	5	1	1	 
6	4	8	8	5	3	8	1	1	3	8	1	1	11	11	3	7	7	11	8	7	 
5	4	4	7	2	10	11	1	1	9	11	1	1	5	6	1	1	3	4	9	6	 
3	9	4	2	8	9	10	1	1	8	10	1	1	6	4	1	1	5	6	8	4	 
