1	8	6	6	11	1	1	1	1	1	1	1	1	4	11	1	1	2	5	5	5	
2	3	1	10	4	8	11	1	1	7	11	8	11	1	1	6	6	1	1	1	1	 
13	3	6	11	3	8	11	1	1	6	11	8	7	1	1	11	3	4	3	4	3	 
5	1	2	11	2	7	11	1	1	11	11	6	1	1	1	6	5	1	1	9	6	 
12	6	9	6	6	6	8	1	1	4	6	6	6	1	11	6	4	1	1	7	6	 
9	6	10	11	7	6	9	6	6	3	6	1	1	5	10	1	1	2	4	9	3	 
6	3	7	9	4	2	11	1	1	2	11	1	1	10	11	3	4	7	11	3	6	 
3	10	1	1	11	3	11	1	1	1	1	7	10	4	5	1	1	4	3	4	3	 
4	9	2	6	10	3	11	1	1	3	11	2	6	1	1	1	1	2	11	4	3	 
10	1	8	11	3	11	11	1	1	10	11	10	11	1	1	9	10	7	9	6	9	 
11	1	5	11	2	6	11	6	6	10	10	11	6	2	4	1	1	5	4	5	6	 Je me demande si je n entend pas le bruit des oiseaux de l'ordi a coté....
8	4	1	11	3	6	11	1	1	9	9	6	6	7	11	1	1	4	11	1	1	 
7	6	10	9	6	6	11	1	1	7	10	8	10	1	1	1	1	1	1	9	6	 
