1	10	8	3	11	4	2	3	3	3	3	1	1	9	11	1	1	1	1	4	6	
2	4	3	4	4	7	10	7	8	10	9	7	7	1	1	7	5	2	3	1	1	 
5	1	6	9	2	11	11	8	11	8	10	10	10	1	1	8	2	5	5	4	4	 
13	5	3	10	8	11	10	8	4	8	8	8	4	9	11	6	4	3	4	4	2	 
3	9	8	4	9	6	11	7	11	10	8	1	1	4	6	1	1	1	9	1	4	 
12	4	8	4	8	10	11	8	10	10	9	4	6	1	3	1	2	1	1	8	4	 
8	1	9	9	10	11	11	7	11	8	11	11	8	11	11	1	1	6	11	1	1	 
6	5	11	10	7	3	8	9	3	7	6	4	3	11	11	4	4	6	11	4	5	 
4	10	6	2	11	4	11	3	4	4	5	1	4	2	1	1	1	1	1	9	10	 
11	1	4	11	1	11	11	10	11	6	9	11	8	6	5	1	1	4	6	7	8	 
9	3	9	6	9	2	11	10	3	7	11	4	8	10	11	4	3	1	1	4	3	 
7	2	6	9	3	8	11	11	5	7	8	9	8	1	1	1	1	1	1	8	3	 
10	1	6	11	1	9	11	8	7	8	9	9	6	1	2	11	9	8	8	6	5	 
